team,sport,sofa_team_id,sofa_team,dk_team_id,dk_team
Burnley,soccer,6,Burnley,83627,Burnley
Brighton,soccer,30,Brighton & Hove Albion,83606,Brighton
West Ham,soccer,37,West Ham United,83719,West Ham
Chelsea,soccer,38,Chelsea,83632,Chelsea
Aston Villa,soccer,40,Aston Villa,83582,Aston Villa
Arsenal,soccer,42,Arsenal,83591,Arsenal
Fulham,soccer,43,Fulham,83728,Fulham
Liverpool,soccer,44,Liverpool,83785,Liverpool
Bournemouth,soccer,60,Bournemouth,83603,Bournemouth
Luton Town,soccer,72,Luton Town,83308,Luton Town
Marseille,soccer,1641,Olympique de Marseille,84394,Marseille
Montpellier,soccer,1642,Montpellier,84401,Montpellier
Lille,soccer,1643,Lille,84418,Lille
Paris St-Germain,soccer,1644,Paris Saint-Germain,84427,Paris St-Germain
Nantes,soccer,1647,Nantes,84421,Nantes
Lens,soccer,1648,Lens,302421,Lens
Metz,soccer,1651,Metz,84437,Metz
Monaco,soccer,1653,AS Monaco,84370,Monaco
Stade Rennes,soccer,1658,Stade Rennais,84403,Stade Rennes
Strasbourg,soccer,1659,RC Strasbourg,84436,Strasbourg
Clermont,soccer,1680,Clermont Foot,569067,Clermont
Toulouse,soccer,1681,Toulouse,84384,Toulouse
Reims,soccer,1682,Stade de Reims,84396,Reims
Stade Brest,soccer,1715,Stade Brestois,84382,Stade Brest
Rangers,soccer,2351,Rangers,85346,Rangers
DC United,soccer,2502,DC United,74307,DC Utd
Columbus Crew,soccer,2504,Columbus Crew,74289,Columbus Crew
Chicago Fire,soccer,2505,Chicago Fire,74311,CHI Fire
New York Red Bulls,soccer,2506,New York Red Bulls,74290,New York Red Bulls
Sporting Kansas City,soccer,2509,Sporting Kansas City,74320,Sporting KC
New England Revolution,soccer,2511,New England Revolution,74293,NE Revolution
FC Dallas,soccer,2512,FC Dallas,74292,FC Dallas
LA Galaxy,soccer,2513,LA Galaxy,74310,LA Galaxy
Wolfsburg,soccer,2524,VfL Wolfsburg,88109,Wolfsburg
Freiburg,soccer,2538,SC Freiburg,302423,Freiburg
Bochum,soccer,2542,VfL Bochum 1848,507752,Bochum
