,Year,Week,Position,Player,Team,Rank,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON,YACON
0,2021,1,RB,Joe Mixon,HOU,1,1,29,127,4.4,74,2.6,53,3,1.8,6,1,-1,2,3,0,0,0,0,19,4,4,0,53,3
1,2021,1,RB,Nick Chubb,CLE,2,1,15,83,5.5,48,3.2,35,0,2.3,2,2,-3,18,2,0,0,0,0,18,2,2,0,35,0
2,2021,1,RB,Christian McCaffrey,SF,3,1,21,98,4.7,59,2.8,39,21,1.9,0,1,-6,0,2,0,0,0,0,18,9,9,1,39,21
3,2021,1,RB,Melvin Gordon III,FA,4,1,11,101,9.2,79,7.2,22,2,2.0,0,1,-1,70,1,1,1,1,1,70,3,3,0,22,2
4,2021,1,RB,David Montgomery,DET,5,1,16,108,6.8,27,1.7,81,2,5.1,2,0,0,3,3,1,1,1,0,41,1,1,0,81,2
5,2021,1,RB,Jamaal Williams,NO,6,1,9,54,6.0,40,4.4,14,6,1.6,1,1,-1,1,2,1,0,0,0,20,8,9,0,14,6
6,2021,1,RB,Elijah Mitchell,SF,7,1,19,104,5.5,64,3.4,40,0,2.1,3,0,0,38,3,1,1,0,0,38,0,0,0,40,0
7,2021,1,RB,D'Andre Swift,CHI,8,1,11,39,3.5,34,3.1,5,26,0.5,0,3,-9,0,2,0,0,0,0,16,8,11,1,5,26
8,2021,1,RB,Josh Jacobs,GB,9,1,10,34,3.4,14,1.4,20,1,2.0,2,1,-2,15,2,0,0,0,0,15,1,2,0,20,1
9,2021,1,RB,Ty'Son Williams,FA,10,1,9,65,7.2,14,1.6,51,5,5.7,0,1,-1,35,2,1,1,0,0,35,3,4,0,51,5
10,2021,1,RB,Alvin Kamara,NO,11,1,20,83,4.2,56,2.8,27,4,1.4,0,0,0,0,2,0,0,0,0,14,3,4,2,27,4
11,2021,1,RB,Darrell Henderson Jr.,FA,12,1,16,70,4.4,48,3.0,22,14,1.4,0,1,-2,1,1,0,0,0,0,15,1,1,1,22,14
12,2021,1,RB,Mark Ingram II,FA,13,1,26,85,3.3,22,0.8,63,0,2.4,1,1,-1,1,1,0,0,0,0,11,0,1,0,63,0
13,2021,1,RB,Dalvin Cook,BAL,14,1,20,61,3.1,25,1.3,36,8,1.8,1,4,-6,1,2,0,0,0,0,17,6,7,0,36,8
14,2021,1,RB,Kareem Hunt,CLE,15,1,6,33,5.5,20,3.3,13,3,2.2,0,0,0,2,1,0,0,0,0,15,3,3,0,13,3
15,2021,1,RB,Miles Sanders,CAR,16,1,15,74,4.9,65,4.3,9,30,0.6,0,3,-10,0,2,1,0,0,0,23,4,5,0,9,30
16,2021,1,RB,Austin Ekeler,WAS,17,1,15,57,3.8,25,1.7,32,0,2.1,0,1,-3,3,2,0,0,0,0,14,0,0,0,32,0
17,2021,1,RB,Jonathan Taylor,IND,18,1,17,56,3.3,21,1.2,35,8,2.1,3,2,-5,0,1,0,0,0,0,12,6,7,1,35,8
18,2021,1,RB,Chase Edmonds,TB,19,1,12,63,5.3,57,4.8,6,1,0.5,0,0,0,0,2,0,0,0,0,16,4,4,1,6,1
19,2021,1,RB,Kenneth Gainwell,PHI,20,1,9,37,4.1,35,3.9,2,0,0.2,0,1,-1,8,0,0,0,0,0,8,2,3,0,2,0
20,2021,1,RB,Damien Harris,FA,21,1,23,100,4.3,52,2.3,48,5,2.1,1,1,-4,0,2,1,1,0,0,35,2,3,0,48,5
21,2021,1,RB,Chris Carson,FA,22,1,16,91,5.7,25,1.6,66,9,4.1,4,0,0,0,1,1,1,0,0,33,3,3,0,66,9
22,2021,1,RB,Antonio Gibson,NE,23,1,20,90,4.5,41,2.1,49,12,2.5,0,4,-7,0,1,1,0,0,0,27,3,5,0,49,12
23,2021,1,RB,Latavius Murray,BUF,24,1,10,28,2.8,4,0.4,24,0,2.4,1,1,-3,8,0,0,0,0,0,8,0,0,0,24,0
24,2021,1,RB,David Johnson,FA,25,1,3,10,3.3,8,2.7,2,1,0.7,0,0,0,0,0,0,0,0,0,5,3,4,2,2,1
25,2021,1,RB,Phillip Lindsay,FA,26,1,8,25,3.1,17,2.1,8,0,1.0,0,1,-4,5,0,0,0,0,0,8,0,1,1,8,0
26,2021,1,RB,Nyheim Hines,CLE,27,1,9,34,3.8,21,2.3,13,4,1.4,2,0,0,0,0,0,0,0,0,8,6,8,0,13,4
27,2021,1,RB,Devin Singletary,NYG,28,1,11,72,6.5,54,4.9,18,0,1.6,1,0,0,0,2,1,0,0,0,25,3,5,1,18,0
28,2021,1,RB,JaMycal Hasty,NE,29,1,1,3,3.0,2,2.0,1,4,1.0,0,0,0,3,0,0,0,0,0,3,1,1,0,1,4
29,2021,1,RB,Derrick Henry,BAL,30,1,17,58,3.4,41,2.4,17,0,1.0,0,4,-6,0,1,0,0,0,0,19,3,4,0,17,0
30,2021,1,RB,Myles Gaskin,MIN,31,1,9,49,5.4,25,2.8,24,2,2.7,1,2,-2,0,2,0,0,0,0,15,5,5,0,24,2
31,2021,1,RB,Clyde Edwards-Helaire,KC,32,1,14,43,3.1,31,2.2,12,6,0.9,0,1,-2,0,0,0,0,0,0,9,3,3,0,12,6
32,2021,1,RB,Mike Davis,FA,33,1,15,49,3.3,29,1.9,20,0,1.3,1,3,-4,0,2,0,0,0,0,12,3,6,2,20,0
33,2021,1,RB,Kenyan Drake,FA,34,1,6,11,1.8,4,0.7,7,27,1.2,1,1,-1,0,0,0,0,0,0,6,5,5,0,7,27
34,2021,1,RB,Cordarrelle Patterson,PIT,35,1,7,54,7.7,35,5.0,19,0,2.7,1,0,0,0,4,0,0,0,0,14,2,2,0,19,0
35,2021,1,RB,James White,FA,36,1,4,12,3.0,8,2.0,4,7,1.0,0,1,-1,0,1,0,0,0,0,10,6,7,0,4,7
36,2021,1,RB,Leonard Fournette,FA,37,1,9,32,3.6,14,1.6,18,15,2.0,1,0,0,0,0,0,0,0,0,7,5,7,1,18,15
37,2021,1,RB,Carlos Hyde,FA,38,1,9,44,4.9,26,2.9,18,6,2.0,0,0,0,0,1,0,0,0,0,13,2,2,0,18,6
38,2021,1,RB,James Robinson,NO,39,1,5,25,5.0,12,2.4,13,4,2.6,0,0,0,0,0,0,0,0,0,7,3,6,0,13,4
39,2021,1,RB,Tony Jones Jr.,ARI,40,1,11,50,4.5,28,2.5,22,1,2.0,0,0,0,0,0,0,0,0,0,9,1,1,1,22,1
40,2021,1,RB,James Conner,ARI,41,1,16,53,3.3,23,1.4,30,0,1.9,3,0,0,0,0,0,0,0,0,8,0,0,0,30,0
41,2021,1,RB,Najee Harris,PIT,42,1,16,45,2.8,23,1.4,22,0,1.4,1,3,-7,0,1,0,0,0,0,18,1,3,2,22,0
42,2021,1,RB,Tony Pollard,TEN,43,1,3,14,4.7,10,3.3,4,7,1.3,0,0,0,0,1,0,0,0,0,11,4,4,1,4,7
43,2021,1,RB,Javonte Williams,DEN,44,1,14,45,3.2,17,1.2,28,0,2.0,1,2,-3,0,1,0,0,0,0,12,1,1,0,28,0
44,2021,1,RB,Damien Williams,FA,45,1,6,12,2.0,1,0.2,11,12,1.8,1,1,-3,0,0,0,0,0,0,6,4,5,0,11,12
45,2021,1,RB,Ezekiel Elliott,NE,46,1,11,33,3.0,20,1.8,13,2,1.2,0,1,-1,0,1,0,0,0,0,13,2,2,1,13,2
46,2021,1,RB,Jeremy McNichols,WAS,47,1,2,9,4.5,6,3.0,3,2,1.5,0,0,0,0,0,0,0,0,0,8,3,4,0,3,2
47,2021,1,RB,Keith Smith,ATL,48,1,2,13,6.5,0,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,3
48,2021,1,RB,Samaje Perine,DEN,49,1,5,22,4.4,17,3.4,5,1,1.0,0,1,-1,0,1,0,0,0,0,13,1,1,0,5,1
49,2021,1,RB,Salvon Ahmed,MIA,50,1,3,4,1.3,-2,-0.7,6,8,2.0,0,2,-4,0,0,0,0,0,0,8,2,3,0,6,8
50,2021,1,RB,Larry Rountree III,FA,51,1,8,27,3.4,15,1.9,12,0,1.5,0,1,-3,0,1,0,0,0,0,13,0,0,0,12,0
51,2021,1,RB,Saquon Barkley,PHI,52,1,10,26,2.6,12,1.2,14,1,1.4,0,1,-1,0,0,0,0,0,0,5,1,3,2,14,1
52,2021,1,RB,AJ Dillon,GB,53,1,4,19,4.8,10,2.5,9,7,2.3,0,0,0,0,0,0,0,0,0,6,1,2,0,9,7
53,2021,1,RB,Ty Johnson,BUF,54,1,4,15,3.8,10,2.5,5,1,1.3,1,0,0,0,1,0,0,0,0,12,1,3,0,5,1
54,2021,1,RB,Tevin Coleman,FA,55,1,9,24,2.7,9,1.0,15,0,1.7,0,1,-1,0,0,0,0,0,0,9,0,0,0,15,0
55,2021,1,RB,Alec Ingold,MIA,56,1,0,0,nan,0,0.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6
56,2021,1,RB,Aaron Jones,MIN,57,1,5,9,1.8,5,1.0,4,2,0.8,0,1,-1,0,0,0,0,0,0,3,2,2,0,4,2
57,2021,1,RB,Michael Carter,ARI,58,1,4,6,1.5,2,0.5,4,1,1.0,0,0,0,0,0,0,0,0,0,2,1,2,0,4,1
58,2021,1,RB,Raheem Mostert,MIA,59,1,2,20,10.0,18,9.0,2,0,1.0,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0
