,Year,Week,Position,Player,Team,Rank,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
0,2021,1,TE,Rob Gronkowski,FA,1,1,8,90,11.3,53,6.6,0,0.0,37,4.6,9,1.1,0,8,0.0,8,0,2,4,2,0,0,0,20
1,2021,1,TE,Travis Kelce,KC,2,1,6,76,12.7,45,7.5,0,0.0,31,5.2,11,1.8,2,7,0.0,6,0,2,4,0,0,0,0,19
2,2021,1,TE,T.J. Hockenson,MIN,3,1,8,97,12.1,51,6.4,0,0.0,46,5.8,6,0.8,1,11,0.0,8,0,2,6,2,0,0,0,23
3,2021,1,TE,Darren Waller,NYG,4,1,10,105,10.5,65,6.5,0,0.0,40,4.0,21,2.1,1,19,0.0,12,2,2,5,1,0,0,0,24
4,2021,1,TE,Juwan Johnson,NO,5,1,3,21,7.0,4,1.3,0,0.0,17,5.7,1,0.3,0,3,0.0,3,0,2,1,0,0,0,0,12
5,2021,1,TE,Dallas Goedert,PHI,6,1,4,42,10.5,24,6.0,0,0.0,18,4.5,0,0.0,0,5,0.0,4,0,2,2,0,0,0,0,13
6,2021,1,TE,Logan Thomas,FA,7,1,3,30,10.0,17,5.7,0,0.0,13,4.3,0,0.0,0,3,0.0,3,0,1,2,0,0,0,0,12
7,2021,1,TE,Chris Manhertz,NYG,8,1,1,22,22.0,18,18.0,0,0.0,4,4.0,0,0.0,0,1,0.0,1,0,0,1,1,0,0,0,22
8,2021,1,TE,Gerald Everett,CHI,9,1,2,20,10.0,0,0.0,0,0.0,20,10.0,3,1.5,0,2,0.0,2,0,1,1,0,0,0,0,11
9,2021,1,TE,George Kittle,SF,10,1,4,78,19.5,21,5.3,0,0.0,57,14.3,3,0.8,1,5,0.0,4,0,0,3,2,1,0,0,35
10,2021,1,TE,David Njoku,CLE,11,1,3,76,25.3,55,18.3,0,0.0,21,7.0,3,1.0,0,5,0.0,3,0,1,2,2,2,1,0,43
11,2021,1,TE,Tyler Higbee,LAR,12,1,5,68,13.6,23,4.6,0,0.0,45,9.0,13,2.6,0,6,0.0,5,0,1,2,1,1,0,0,37
12,2021,1,TE,Pharaoh Brown,SEA,13,1,4,67,16.8,33,8.3,0,0.0,34,8.5,27,6.8,1,5,0.0,4,0,0,3,2,0,0,0,29
13,2021,1,TE,Noah Fant,SEA,14,1,6,62,10.3,37,6.2,0,0.0,25,4.2,12,2.0,0,8,0.0,6,0,2,2,1,0,0,0,25
14,2021,1,TE,Albert Okwuegbunam Jr.,PHI,15,1,3,16,5.3,2,0.7,0,0.0,14,4.7,9,3.0,0,3,0.0,3,0,2,0,0,0,0,0,6
15,2021,1,TE,Jared Cook,FA,16,1,5,56,11.2,30,6.0,0,0.0,26,5.2,3,0.6,0,8,0.0,5,0,2,3,1,0,0,0,23
16,2021,1,TE,James O'Shaughnessy,FA,17,1,6,48,8.0,25,4.2,0,0.0,23,3.8,4,0.7,1,8,0.0,7,1,0,1,1,0,0,0,22
17,2021,1,TE,Jonnu Smith,MIA,18,1,5,42,8.4,18,3.6,0,0.0,24,4.8,10,2.0,0,5,0.0,5,0,1,2,0,0,0,0,11
18,2021,1,TE,Dalton Schultz,HOU,19,1,6,45,7.5,14,2.3,0,0.0,31,5.2,10,1.7,2,6,0.0,6,0,0,2,0,0,0,0,16
19,2021,1,TE,Cole Kmet,CHI,20,1,5,42,8.4,16,3.2,0,0.0,26,5.2,12,2.4,1,7,0.0,6,1,0,3,0,0,0,0,10
20,2021,1,TE,Dawson Knox,BUF,21,1,4,41,10.3,23,5.8,0,0.0,18,4.5,3,0.8,0,4,0.0,4,0,0,3,0,0,0,0,13
21,2021,1,TE,Tyler Conklin,NYJ,22,1,4,41,10.3,31,7.8,0,0.0,10,2.5,1,0.3,0,4,0.0,4,0,0,1,1,0,0,0,27
22,2021,1,TE,Will Dissly,LAC,23,1,3,37,12.3,20,6.7,0,0.0,17,5.7,7,2.3,1,3,0.0,3,0,0,1,1,0,0,0,22
23,2021,1,TE,C.J. Uzomah,PHI,24,1,2,35,17.5,15,7.5,0,0.0,20,10.0,9,4.5,0,2,0.0,2,0,0,1,1,1,0,0,32
24,2021,1,TE,Zach Ertz,WAS,25,1,2,34,17.0,31,15.5,0,0.0,3,1.5,0,0.0,0,2,0.0,2,0,0,1,1,0,0,0,28
25,2021,1,TE,Hunter Henry,NE,26,1,3,31,10.3,24,8.0,0,0.0,7,2.3,3,1.0,0,3,0.0,3,0,0,1,0,0,0,0,16
26,2021,1,TE,Kyle Pitts,ATL,27,1,4,31,7.8,29,7.3,0,0.0,2,0.5,0,0.0,0,8,0.0,4,0,1,1,0,0,0,0,18
27,2021,1,TE,Hayden Hurst,LAC,28,1,4,28,7.0,10,2.5,0,0.0,18,4.5,0,0.0,0,4,0.0,4,0,1,0,0,0,0,0,9
28,2021,1,TE,Austin Hooper,NE,29,1,3,27,9.0,16,5.3,0,0.0,11,3.7,0,0.0,0,3,0.0,3,0,1,1,0,0,0,0,14
29,2021,1,TE,Tyler Kroft,MIA,30,1,3,26,8.7,12,4.0,0,0.0,14,4.7,5,1.7,0,5,0.0,3,0,0,2,0,0,0,0,10
30,2021,1,TE,Pat Freiermuth,PIT,31,1,1,24,24.0,15,15.0,0,0.0,9,9.0,0,0.0,0,1,0.0,1,0,0,1,1,0,0,0,24
31,2021,1,TE,Ryan Griffin,FA,32,1,3,22,7.3,11,3.7,0,0.0,11,3.7,3,1.0,0,6,0.0,3,0,0,0,0,0,0,0,8
32,2021,1,TE,Jack Doyle,FA,33,1,3,21,7.0,12,4.0,0,0.0,9,3.0,0,0.0,0,4,0.0,3,0,0,0,0,0,0,0,9
33,2021,1,TE,Mark Andrews,BAL,34,1,3,20,6.7,19,6.3,0,0.0,1,0.3,0,0.0,0,5,0.0,3,0,0,1,0,0,0,0,10
34,2021,1,TE,Blake Jarwin,FA,35,1,3,20,6.7,15,5.0,0,0.0,5,1.7,2,0.7,0,3,0.0,3,0,0,0,0,0,0,0,7
35,2021,1,TE,Anthony Firkser,DET,36,1,3,19,6.3,14,4.7,0,0.0,5,1.7,0,0.0,0,4,0.0,4,0,0,1,0,0,0,0,11
36,2021,1,TE,Eric Ebron,FA,37,1,1,19,19.0,17,17.0,0,0.0,2,2.0,0,0.0,0,2,0.0,1,0,1,1,0,0,0,0,19
37,2021,1,TE,Marcedes Lewis,CHI,38,1,1,19,19.0,5,5.0,0,0.0,14,14.0,0,0.0,0,1,0.0,1,0,0,1,0,0,0,0,19
38,2021,1,TE,Adam Trautman,DEN,39,1,3,18,6.0,7,2.3,0,0.0,11,3.7,5,1.7,0,6,0.0,5,2,0,0,0,0,0,0,8
39,2021,1,TE,Harrison Bryant,LV,40,1,1,17,17.0,2,2.0,0,0.0,15,15.0,0,0.0,0,2,0.0,1,0,0,1,0,0,0,0,17
40,2021,1,TE,Ian Thomas,CAR,41,1,1,17,17.0,2,2.0,0,0.0,15,15.0,2,2.0,0,2,0.0,1,0,1,1,0,0,0,0,17
41,2021,1,TE,Jimmy Graham,NO,42,1,1,11,11.0,10,10.0,0,0.0,1,1.0,1,1.0,0,2,0.0,1,0,1,1,0,0,0,0,11
