,Year,Week,Position,Player,Team,Inside,Rank,ATT,RUSH YDS,Y/A,RUSH TD,RUSH PCT,REC,TGT,REC PCT,REC YDS,Y/R,REC TD,TGT PCT,FL,G,FPTS,FPTS/G,ROST %
0,2021,1,RB,Nick Chubb,CLE,20,1,6,43,7.2,2,0.67,0,0,0.0,0,0,0,0.0,0,1,16.3,16.3,0.55
1,2021,1,RB,Josh Jacobs,GB,20,2,3,17,5.7,2,1.0,0,0,0.0,0,0,0,0.0,0,1,13.7,13.7,0.97
2,2021,1,RB,Darrell Henderson Jr.,FA,20,3,4,17,4.3,1,1.0,1,1,1.0,17,17.0,0,1.0,0,1,10.4,10.4,0.03
3,2021,1,RB,Alvin Kamara,NO,20,4,5,9,1.8,0,0.83,2,2,1.0,5,2.5,1,0.5,0,1,9.4,9.4,0.98
4,2021,1,RB,David Johnson,FA,20,5,0,0,0,0,0.0,1,2,0.5,7,7.0,1,0.67,0,1,7.7,7.7,0.0
5,2021,1,RB,Mark Ingram II,FA,20,6,6,14,2.3,1,0.86,0,0,0.0,0,0,0,0.0,0,1,7.4,7.4,0.0
6,2021,1,RB,Austin Ekeler,WAS,20,7,7,12,1.7,1,0.78,0,0,0.0,0,0,0,0.0,0,1,7.2,7.2,0.92
7,2021,1,RB,Kenneth Gainwell,PHI,20,8,2,9,4.5,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.9,6.9,0.15
8,2021,1,RB,Joe Mixon,HOU,20,9,3,8,2.7,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.99
9,2021,1,RB,Latavius Murray,BUF,20,10,1,8,8.0,1,0.5,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.08
10,2021,1,RB,Kareem Hunt,CLE,20,11,3,8,2.7,1,0.33,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.27
11,2021,1,RB,Phillip Lindsay,FA,20,12,1,5,5.0,1,0.14,0,1,0.0,0,0,0,0.33,0,1,6.5,6.5,0.0
12,2021,1,RB,JaMycal Hasty,NE,20,13,1,3,3.0,1,0.33,0,0,0.0,0,0,0,0.0,0,1,6.3,6.3,0.0
13,2021,1,RB,David Montgomery,DET,20,14,2,3,1.5,1,0.5,0,0,0.0,0,0,0,0.0,0,1,6.3,6.3,0.92
14,2021,1,RB,Dalvin Cook,BAL,20,15,2,2,1.0,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.2,6.2,0.1
15,2021,1,RB,Jamaal Williams,NO,20,16,1,1,1.0,1,0.33,0,0,0.0,0,0,0,0.0,0,1,6.1,6.1,0.1
16,2021,1,RB,Jonathan Taylor,IND,20,17,5,21,4.2,0,1.0,1,1,1.0,7,7.0,0,1.0,0,1,3.8,3.8,0.99
17,2021,1,RB,Christian McCaffrey,SF,20,18,5,13,2.6,0,1.0,1,1,1.0,11,11.0,0,1.0,0,1,3.4,3.4,1.0
18,2021,1,RB,Leonard Fournette,FA,20,19,4,15,3.8,0,1.0,1,1,1.0,2,2.0,0,1.0,0,1,2.7,2.7,0.02
19,2021,1,RB,Ezekiel Elliott,NE,20,20,1,-1,-1.0,0,1.0,2,2,1.0,6,3.0,0,0.67,0,1,2.5,2.5,0.47
20,2021,1,RB,Tony Jones Jr.,ARI,20,21,1,9,9.0,0,0.17,1,1,1.0,3,3.0,0,0.25,0,1,2.2,2.2,0.0
21,2021,1,RB,Tony Pollard,TEN,20,22,0,0,0,0,0.0,1,1,1.0,6,6.0,0,0.33,0,1,1.6,1.6,0.93
22,2021,1,RB,D'Andre Swift,CHI,20,23,2,2,1.0,0,0.67,1,1,1.0,3,3.0,0,1.0,0,1,1.5,1.5,0.92
23,2021,1,RB,Ty Montgomery II,FA,20,24,0,0,0,0,0.0,1,1,1.0,5,5.0,0,0.25,0,1,1.5,1.5,0.0
24,2021,1,RB,Alec Ingold,MIA,20,25,0,0,0,0,0.0,1,1,1.0,3,3.0,0,1.0,0,1,1.3,1.3,0.0
25,2021,1,RB,Mike Davis,FA,20,26,3,13,4.3,0,0.75,0,2,0.0,0,0,0,1.0,0,1,1.3,1.3,0.01
26,2021,1,RB,Najee Harris,PIT,20,27,2,-1,-0.5,0,1.0,1,2,0.5,4,4.0,0,1.0,0,1,1.3,1.3,0.9
27,2021,1,RB,Chase Edmonds,TB,20,28,1,0,0.0,0,0.2,1,1,1.0,3,3.0,0,1.0,0,1,1.3,1.3,0.01
28,2021,1,RB,James Conner,ARI,20,29,4,12,3.0,0,0.8,0,0,0.0,0,0,0,0.0,0,1,1.2,1.2,0.9
29,2021,1,RB,Devin Singletary,NYG,20,30,1,3,3.0,0,1.0,1,1,1.0,-2,-2.0,0,1.0,0,1,1.1,1.1,0.83
30,2021,1,RB,Salvon Ahmed,MIA,20,31,1,8,8.0,0,0.33,0,0,0.0,0,0,0,0.0,0,1,0.8,0.8,0.01
31,2021,1,RB,Myles Gaskin,MIN,20,32,1,8,8.0,0,0.33,0,0,0.0,0,0,0,0.0,0,1,0.8,0.8,0.0
32,2021,1,RB,Clyde Edwards-Helaire,KC,20,33,2,7,3.5,0,0.67,0,0,0.0,0,0,0,0.0,0,1,0.7,0.7,0.22
33,2021,1,RB,Elijah Mitchell,SF,20,34,2,6,3.0,0,0.67,0,0,0.0,0,0,0,0.0,0,1,0.6,0.6,0.1
34,2021,1,RB,Devontae Booker,FA,20,35,1,6,6.0,0,0.5,0,0,0.0,0,0,0,0.0,0,1,0.6,0.6,0.0
35,2021,1,RB,Justin Jackson,FA,20,36,1,5,5.0,0,0.11,0,0,0.0,0,0,0,0.0,0,1,0.5,0.5,0.0
36,2021,1,RB,Rashaad Penny,PHI,20,37,1,4,4.0,0,0.5,0,0,0.0,0,0,0,0.0,0,1,0.4,0.4,0.04
37,2021,1,RB,Chris Carson,FA,20,38,1,4,4.0,0,0.5,0,0,0.0,0,0,0,0.0,0,1,0.4,0.4,0.0
38,2021,1,RB,Ty'Son Williams,FA,20,39,1,4,4.0,0,0.5,0,0,0.0,0,0,0,0.0,0,1,0.4,0.4,0.0
39,2021,1,RB,Malcolm Brown,FA,20,40,1,4,4.0,0,0.33,0,0,0.0,0,0,0,0.0,0,1,0.4,0.4,0.0
40,2021,1,RB,Darrel Williams,FA,20,41,1,4,4.0,0,0.33,0,0,0.0,0,0,0,0.0,0,1,0.4,0.4,0.0
41,2021,1,RB,Cordarrelle Patterson,PIT,20,42,1,3,3.0,0,0.25,0,0,0.0,0,0,0,0.0,0,1,0.3,0.3,0.01
42,2021,1,RB,Larry Rountree III,FA,20,43,1,3,3.0,0,0.11,0,0,0.0,0,0,0,0.0,0,1,0.3,0.3,0.0
43,2021,1,RB,Aaron Jones,MIN,20,44,1,3,3.0,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0.3,0.3,0.91
44,2021,1,RB,Damien Williams,FA,20,45,2,1,0.5,0,0.5,0,0,0.0,0,0,0,0.0,0,1,0.1,0.1,0.0
45,2021,1,RB,Saquon Barkley,PHI,20,46,1,1,1.0,0,0.5,0,2,0.0,0,0,0,1.0,0,1,0.1,0.1,1.0
46,2021,1,RB,Miles Sanders,CAR,20,47,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.34
47,2021,1,RB,Derrick Henry,BAL,20,48,2,0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.99
48,2021,1,RB,Javonte Williams,DEN,20,49,2,0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.88
49,2021,1,RB,Antonio Gibson,NE,20,50,1,-3,-3.0,0,1.0,0,0,0.0,0,0,0,0.0,0,1,-0.3,-0.3,0.66
50,2021,1,RB,Damien Harris,FA,20,51,3,6,2.0,0,1.0,0,0,0.0,0,0,0,0.0,1,1,-1.4,-1.4,0.05
51,2021,1,RB,Josh Jacobs,GB,15,1,3,17,5.7,2,1.0,0,0,0.0,0,0,0,0.0,0,1,13.7,13.7,0.97
52,2021,1,RB,Alvin Kamara,NO,15,2,4,6,1.5,0,0.8,1,1,1.0,3,3.0,1,0.33,0,1,7.9,7.9,0.98
53,2021,1,RB,Nick Chubb,CLE,15,3,4,18,4.5,1,0.57,0,0,0.0,0,0,0,0.0,0,1,7.8,7.8,0.55
54,2021,1,RB,David Johnson,FA,15,4,0,0,0,0,0.0,1,2,0.5,7,7.0,1,0.67,0,1,7.7,7.7,0.0
55,2021,1,RB,Mark Ingram II,FA,15,5,6,14,2.3,1,0.86,0,0,0.0,0,0,0,0.0,0,1,7.4,7.4,0.0
56,2021,1,RB,Kareem Hunt,CLE,15,6,3,8,2.7,1,0.43,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.27
57,2021,1,RB,Kenneth Gainwell,PHI,15,7,1,8,8.0,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.15
58,2021,1,RB,Latavius Murray,BUF,15,8,1,8,8.0,1,0.5,0,0,0.0,0,0,0,0.0,0,1,6.8,6.8,0.08
59,2021,1,RB,Phillip Lindsay,FA,15,9,1,5,5.0,1,0.14,0,1,0.0,0,0,0,0.33,0,1,6.5,6.5,0.0
60,2021,1,RB,Austin Ekeler,WAS,15,10,5,4,0.8,1,0.83,0,0,0.0,0,0,0,0.0,0,1,6.4,6.4,0.92
61,2021,1,RB,David Montgomery,DET,15,11,2,3,1.5,1,0.5,0,0,0.0,0,0,0,0.0,0,1,6.3,6.3,0.92
62,2021,1,RB,JaMycal Hasty,NE,15,12,1,3,3.0,1,0.33,0,0,0.0,0,0,0,0.0,0,1,6.3,6.3,0.0
63,2021,1,RB,Joe Mixon,HOU,15,13,2,3,1.5,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.3,6.3,0.99
64,2021,1,RB,Dalvin Cook,BAL,15,14,2,2,1.0,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.2,6.2,0.1
65,2021,1,RB,Darrell Henderson Jr.,FA,15,15,3,2,0.7,1,1.0,0,0,0.0,0,0,0,0.0,0,1,6.2,6.2,0.03
66,2021,1,RB,Jamaal Williams,NO,15,16,1,1,1.0,1,0.5,0,0,0.0,0,0,0,0.0,0,1,6.1,6.1,0.1
67,2021,1,RB,Jonathan Taylor,IND,15,17,4,12,3.0,0,1.0,1,1,1.0,7,7.0,0,1.0,0,1,2.9,2.9,0.99
68,2021,1,RB,Tony Jones Jr.,ARI,15,18,1,9,9.0,0,0.2,1,1,1.0,3,3.0,0,0.33,0,1,2.2,2.2,0.0
69,2021,1,RB,Leonard Fournette,FA,15,19,2,6,3.0,0,1.0,1,1,1.0,2,2.0,0,1.0,0,1,1.8,1.8,0.02
70,2021,1,RB,Ty Montgomery II,FA,15,20,0,0,0,0,0.0,1,1,1.0,5,5.0,0,0.33,0,1,1.5,1.5,0.0
71,2021,1,RB,D'Andre Swift,CHI,15,21,1,1,1.0,0,0.5,1,1,1.0,3,3.0,0,1.0,0,1,1.4,1.4,0.92
