,Year,Week,Position,Player,Team,Inside,Rank,REC,TGT,REC PCT,REC YDS,Y/R,REC TD,TGT PCT,RUSH ATT,RUSH YDS,RUSH TD,RUSH PCT,FL,G,FPTS,FPTS/G,ROST %
0,2021,1,TE,Travis Kelce,KC,20,1,2,2,1.0,19,9.5,2,1.0,0,0,0,0.0,0,1,15.9,15.9,1.0
1,2021,1,TE,Rob Gronkowski,FA,20,2,2,2,1.0,13,6.5,2,1.0,0,0,0,0.0,0,1,15.3,15.3,0.02
2,2021,1,TE,Juwan Johnson,NO,20,3,2,2,1.0,9,4.5,2,1.0,0,0,0,0.0,0,1,14.9,14.9,0.1
3,2021,1,TE,Darren Waller,NYG,20,4,3,3,1.0,28,9.3,1,1.0,0,0,0,0.0,0,1,11.8,11.8,0.75
4,2021,1,TE,Dallas Goedert,PHI,20,5,2,3,0.67,21,10.5,1,1.0,0,0,0,0.0,0,1,10.1,10.1,0.88
5,2021,1,TE,T.J. Hockenson,MIN,20,6,2,2,1.0,7,3.5,1,1.0,0,0,0,0.0,0,1,8.7,8.7,0.8
6,2021,1,TE,Logan Thomas,FA,20,7,1,1,1.0,11,11.0,1,1.0,0,0,0,0.0,0,1,8.1,8.1,0.19
7,2021,1,TE,Gerald Everett,CHI,20,8,1,1,1.0,9,9.0,1,1.0,0,0,0,0.0,0,1,7.9,7.9,0.24
8,2021,1,TE,Albert Okwuegbunam Jr.,PHI,20,9,2,2,1.0,10,5.0,1,0.5,0,0,0,0.0,1,1,7.0,7.0,0.0
9,2021,1,TE,Jimmy Graham,NO,20,10,1,1,1.0,11,11.0,0,1.0,0,0,0,0.0,0,1,2.1,2.1,0.0
10,2021,1,TE,Noah Fant,SEA,20,11,1,2,0.5,7,7.0,0,0.5,0,0,0,0.0,0,1,1.7,1.7,0.02
11,2021,1,TE,Hayden Hurst,LAC,20,12,1,1,1.0,7,7.0,0,0.5,0,0,0,0.0,0,1,1.7,1.7,0.02
12,2021,1,TE,Jonnu Smith,MIA,20,13,1,1,1.0,7,7.0,0,1.0,0,0,0,0.0,0,1,1.7,1.7,0.09
13,2021,1,TE,Robert Tonyan,CHI,20,14,1,1,1.0,5,5.0,0,1.0,0,0,0,0.0,0,1,1.5,1.5,0.0
14,2021,1,TE,Austin Hooper,NE,20,15,1,1,1.0,5,5.0,0,0.5,0,0,0,0.0,0,1,1.5,1.5,0.0
15,2021,1,TE,David Njoku,CLE,20,16,1,1,1.0,3,3.0,0,0.5,0,0,0,0.0,0,1,1.3,1.3,0.93
16,2021,1,TE,Jared Cook,FA,20,17,1,2,0.5,-3,-3.0,0,0.5,0,0,0,0.0,0,1,0.7,0.7,0.0
17,2021,1,TE,Taysom Hill,NO,20,18,0,0,0.0,0,0,0,0.0,1,-1,0,1.0,0,1,0.0,0.0,0.44
18,2021,1,TE,Stephen Anderson,LAC,20,19,0,1,0.0,0,0,0,0.25,0,0,0,0.0,0,1,0.0,0.0,0.0
19,2021,1,TE,Tyler Higbee,LAR,20,20,0,1,0.0,0,0,0,1.0,0,0,0,0.0,0,1,0.0,0.0,0.2
20,2021,1,TE,Ian Thomas,CAR,20,21,0,1,0.0,0,0,0,1.0,0,0,0,0.0,0,1,0.0,0.0,0.0
21,2021,1,TE,Jordan Akins,CLE,20,22,0,2,0.0,0,0,0,1.0,0,0,0,0.0,0,1,0.0,0.0,0.0
22,2021,1,TE,Geoff Swaim,ARI,20,23,0,1,0.0,0,0,0,1.0,0,0,0,0.0,0,1,0.0,0.0,0.0
