,Year,Week,Position,Player,Team,Inside,Rank,REC,TGT,REC PCT,REC YDS,Y/R,REC TD,TGT PCT,RUSH ATT,RUSH YDS,RUSH TD,RUSH PCT,FL,G,FPTS,FPTS/G,ROST %
0,2021,1,WR,DeAndre Hopkins,TEN,20,1,2,2,1.0,22,11.0,2,0.4,0,0,0,0.0,0,1,16.2,16.2,0.93
1,2021,1,WR,Zach Pascal,ARI,20,2,2,2,1.0,21,10.5,2,1.0,0,0,0,0.0,0,1,16.1,16.1,0.0
2,2021,1,WR,Chris Godwin,TB,20,3,4,4,1.0,26,6.5,1,1.0,0,0,0,0.0,1,1,10.6,10.6,0.9
3,2021,1,WR,Amari Cooper,CLE,20,4,3,3,1.0,13,4.3,1,0.5,0,0,0,0.0,0,1,10.3,10.3,0.9
4,2021,1,WR,Corey Davis,FA,20,5,2,2,1.0,20,10.0,1,1.0,0,0,0,0.0,0,1,10.0,10.0,0.0
5,2021,1,WR,Tim Patrick,DEN,20,6,2,2,1.0,18,9.0,1,0.67,0,0,0,0.0,0,1,9.8,9.8,0.01
6,2021,1,WR,Tee Higgins,CIN,20,7,2,2,1.0,16,8.0,1,1.0,0,0,0,0.0,0,1,9.6,9.6,0.95
7,2021,1,WR,Diontae Johnson,CAR,20,8,2,2,1.0,10,5.0,1,1.0,0,0,0,0.0,0,1,9.0,9.0,0.82
8,2021,1,WR,DeVonta Smith,PHI,20,9,1,1,1.0,18,18.0,1,1.0,0,0,0,0.0,0,1,8.8,8.8,0.98
9,2021,1,WR,DK Metcalf,SEA,20,10,1,1,1.0,15,15.0,1,1.0,0,0,0,0.0,0,1,8.5,8.5,0.99
10,2021,1,WR,A.J. Brown,PHI,20,11,1,1,1.0,13,13.0,1,0.33,0,0,0,0.0,0,1,8.3,8.3,1.0
11,2021,1,WR,Christian Kirk,JAC,20,12,1,1,1.0,11,11.0,1,0.2,0,0,0,0.0,0,1,8.1,8.1,0.69
12,2021,1,WR,Marquise Brown,KC,20,13,1,1,1.0,10,10.0,1,1.0,0,0,0,0.0,0,1,8.0,8.0,0.78
13,2021,1,WR,Chris Hogan,FA,20,14,1,1,1.0,10,10.0,1,0.5,0,0,0,0.0,0,1,8.0,8.0,0.0
14,2021,1,WR,Danny Amendola,FA,20,15,1,1,1.0,8,8.0,1,0.5,0,0,0,0.0,0,1,7.8,7.8,0.0
15,2021,1,WR,Nelson Agholor,BAL,20,16,1,1,1.0,7,7.0,1,0.5,0,0,0,0.0,0,1,7.7,7.7,0.01
16,2021,1,WR,Adam Thielen,CAR,20,17,1,1,1.0,5,5.0,1,1.0,0,0,0,0.0,0,1,7.5,7.5,0.83
17,2021,1,WR,Trent Sherfield,MIN,20,18,1,1,1.0,5,5.0,1,0.33,0,0,0,0.0,0,1,7.5,7.5,0.0
18,2021,1,WR,Marvin Jones Jr.,FA,20,19,1,3,0.33,4,4.0,1,1.0,0,0,0,0.0,0,1,7.4,7.4,0.0
19,2021,1,WR,Mike Williams,NYJ,20,20,1,2,0.5,3,3.0,1,0.29,0,0,0,0.0,0,1,7.3,7.3,0.48
20,2021,1,WR,Jaylen Waddle,MIA,20,21,1,1,1.0,3,3.0,1,1.0,0,0,0,0.0,0,1,7.3,7.3,0.96
21,2021,1,WR,Gabe Davis,JAC,20,22,1,1,1.0,3,3.0,1,0.25,0,0,0,0.0,0,1,7.3,7.3,0.61
22,2021,1,WR,Quintez Cephus,FA,20,23,1,1,1.0,2,2.0,1,0.5,0,0,0,0.0,0,1,7.2,7.2,0.0
23,2021,1,WR,Robert Woods,HOU,20,24,1,2,0.5,2,2.0,1,0.5,0,0,0,0.0,0,1,7.2,7.2,0.03
24,2021,1,WR,Jarvis Landry,FA,20,25,0,0,0.0,0,0,0,0.0,1,5,1,1.0,0,1,6.5,6.5,0.07
