team,sofa_team_id,sofa_team,dk_team_id,dk_team
Miami Heat,3435,Miami Heat,32931,MIA Heat
Los Angeles Clippers,3425,Los Angeles Clippers,32925,LA Clippers
Utah Jazz,3434,Utah Jazz,32959,UTA Jazz
Chicago Bulls,3409,Chicago Bulls,32906,CHI Bulls
Yale,87426,Yale Bulldogs,42873,Yale
Milwaukee Bucks,3410,Milwaukee Bucks,32933,MIL Bucks
Cleveland Cavaliers,3432,Cleveland Cavaliers,32908,CLE Cavaliers
VCU,34627,VCU Rams,42328,VCU
Auburn,86622,Auburn Tigers,44071,Auburn
Minnesota Timberwolves,3426,Minnesota Timberwolves,32935,MIN Timberwolves
Illinois,34628,Illinois Fighting Illini,41598,Illinois
Dallas Mavericks,3411,Dallas Mavericks,32911,DAL Mavericks
Toronto Raptors,3433,Toronto Raptors,32957,TOR Raptors
Washington Wizards,3431,Washington Wizards,,
Sacramento Kings,3413,Sacramento Kings,32954,SAC Kings
Houston Rockets,3412,Houston Rockets,32919,HOU Rockets
San Antonio Spurs,3429,San Antonio Spurs,32955,SA Spurs
Denver Nuggets,3417,Denver Nuggets,32913,DEN Nuggets
Phoenix Suns,3416,Phoenix Suns,32949,PHO Suns
Orlando Magic,3437,Orlando Magic,32945,ORL Magic
Indiana Pacers,3419,Indiana Pacers,32922,IND Pacers
Brooklyn Nets,3436,Brooklyn Nets,32902,BKN Nets
Los Angeles Lakers,3427,Los Angeles Lakers,32927,LA Lakers
Boston Celtics,3422,Boston Celtics,32898,BOS Celtics
Portland Trail Blazers,3414,Portland Trail Blazers,32952,POR Trail Blazers
Philadelphia 76ers,3420,Philadelphia 76ers,32947,PHI 76ers
Detroit Pistons,3424,Detroit Pistons,32915,DET Pistons
Golden State Warriors,3428,Golden State Warriors,32917,GS Warriors
Oklahoma City Thunder,3418,Oklahoma City Thunder,32942,OKC Thunder
Atlanta Hawks,3423,Atlanta Hawks,32892,ATL Hawks
New Orleans Pelicans,5539,New Orleans Pelicans,32938,NO Pelicans
New York Knicks,3421,New York Knicks,32940,NY Knicks
Florida,41197,Florida Gators,44135,Florida
Wisconsin,34659,Wisconsin Badgers,43620,Wisconsin
Duquesne,86782,Duquesne Dukes,43214,Duquesne
Charlotte Hornets,3430,Charlotte Hornets,,
Memphis Grizzlies,3415,Memphis Grizzlies,32929,MEM Grizzlies
McNeese,92641,McNeese State Cowboys,41412,McNeese
Northwestern,86698,Northwestern Wildcats,41620,Northwestern
Western Kentucky,34629,Western Kentucky Hilltoppers,44790,Western Kentucky
Grand Canyon,183677,Grand Canyon Antelopes,43744,Grand Canyon
Michigan State,34656,Michigan State Spartans,41925,Michigan State
James Madison,86668,James Madison Dukes,41894,James Madison
TCU,87346,TCU Horned Frogs,44835,TCU
Charleston,86748,College of Charleston,41604,Charleston
Colgate,89116,Colgate Raiders,42499,Colgate
Morehead State,34593,Morehead St Eagles,41341,Morehead State
Drake,87348,Drake Bulldogs,41573,Drake
Long Beach State,66376,Long Beach State 49ers,42848,Long Beach State
Grambling,101901,Grambling St Tigers,42491,Grambling
Texas A&M,34605,Texas A&M Aggies,44866,Texas A&M
Longwood,101905,Longwood Lancers,42513,Longwood
Stetson,101887,Stetson Hatters,44822,Stetson
North Carolina State,66370,North Carolina State Wolfpack,42018,North Carolina State
Wagner,86858,Wagner Seahawks,41384,Wagner
Oregon,86814,Oregon Ducks,44430,Oregon
Akron,34621,Akron Zips,41425,Akron
South Dakota State,66356,South Dakota State Jackrabbits,43733,South Dakota State
New Mexico,41214,New Mexico Lobos,44215,New Mexico
Vermont,41221,Vermont Catamounts,41806,Vermont
Nevada,86606,Nevada Wolf Pack,44201,Nevada
Oakland,41217,Oakland Golden Grizzlies,41977,Oakland
Colorado State,66372,Colorado State Rams,45374,Colorado State
,49867,Saint Peter's Peacocks,,
Samford,86796,Samford Bulldogs,42759,Samford
Nebraska,86762,Nebraska Cornhuskers,43139,Nebraska
Saint Marys,41207,St Mary's Gaels,41405,Saint Marys
Kentucky,41210,Kentucky Wildcats,44542,Kentucky
Virginia,66378,Virginia Cavaliers,42373,Virginia
South Carolina,86810,South Carolina Gamecocks,42229,South Carolina
Montana State,86710,Montana State Bobcats,44162,Montana State
Florida Atlantic,86612,Florida Atlantic Owls,44945,Florida Atlantic
UConn,34598,Connecticut Huskies,41421,UConn
Houston,41223,Houston Cougars,43043,Houston
Kansas,34634,Kansas Jayhawks,41920,Kansas
North Carolina,34608,North Carolina Tar Heels,42450,North Carolina
Gonzaga,34620,Gonzaga Bulldogs,44154,Gonzaga
Mississippi State,34613,Mississippi State Bulldogs,42185,Mississippi State
Iowa State,66362,Iowa State Cyclones,42961,Iowa State
Utah State,34637,Utah State Aggies,44224,Utah State
Duke,34622,Duke Blue Devils,44551,Duke
Boise State,86842,Boise State Broncos,43598,Boise State
Baylor,41204,Baylor Bears,44466,Baylor
Texas,34616,Texas Longhorns,43429,Texas
Alabama,66366,Alabama Crimson Tide,42858,Alabama
Washington State,86860,Washington St Cougars,44124,Washington State
San Diego State,41216,San Diego State Aztecs,44675,San Diego State
Howard,88332,Howard Bison,44989,Howard
Marquette,34636,Marquette Golden Eagles,44018,Marquette
,34633,Tennessee Volunteers,,
Texas Tech,86812,Texas Tech Red Raiders,42835,Texas Tech
Clemson,34614,Clemson Tigers,41619,Clemson
Dayton,34643,Dayton Flyers,44880,Dayton
BYU,34604,Brigham Young Cougars,44811,BYU
Creighton,66364,Creighton Bluejays,43875,Creighton
Arizona,34645,Arizona Wildcats,45351,Arizona
Colorado,66360,Colorado Buffaloes,45194,Colorado
Purdue,34606,Purdue Boilermakers,42127,Purdue
UAB,49848,Uab Blazers,42938,UAB
